Title,Year,Duration,MPA,Rating,Votes,description,Movie Link,writers,directors,stars,Languages,oscar_nominated,oscar_winner,globe_nominated,globe_winner,globe_category,oscar_category,méta_score,directors[0],writers[0],stars[0],genres,genres_first2,genre1,genre2,prob_vencer_oscar
Delicious,2025,102,TV-MA,4.4,4200.0,"A German family vacationing in a French villa encounters a mysterious injured woman and takes her in, leading to unforeseen consequences.",https://www.imdb.com/title/tt32047217/?ref_=sr_i_66,Nele Mueller-Stöfen,Nele Mueller-Stöfen,"Fahri Yardim, Valerie Pachner, Carla Díaz, Naila Schuberth, Caspar Hoffmann, Julien De Saint Jean, Melodie Casta, Sina Martens, Miveck Packa, Joep Paddenburg","English, German",unknown,,unknown,unknown,,,,,,,"Drama, Thriller","Drama, Thriller",Drama,Thriller,0.00034141238
The Baby in the Basket,2025,100,TV-MA,5.4,84.0,"A baby in a basket is left on the steps of an isolated monastery on a Scottish island. The nuns take it in, planning to care for it until a storm passes. Soon though, strange and unexplained events begin to happen at the convent.",https://www.imdb.com/title/tt26594761/?ref_=sr_i_493,"Tom Jolliffe, Nathan Shepka","Andy Crane, Nathan Shepka","Maryam d'Abo, Paul Barber, Amber Doig-Thorne, Annabelle Lanyon, Michaela Longden, Elle O'Hara, Lisa Riesner, Nathan Shepka, David Rogerson, Tim Spriggs",unknown,unknown,,unknown,unknown,,,,,,,"Drama, Horror, Mystery","Drama, Horror",Drama,Horror,0.0003331101
The Electric State,2025,125,PG-13,6.0,43000.0,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",https://www.imdb.com/title/tt7766378/?ref_=sr_i_48,"Christopher Markus, Stephen McFeely, Simon Stålenhag","Anthony Russo, Joe Russo","Chris Pratt, Millie Bobby Brown, Woody Harrelson, Ke Huy Quan, Woody Norman, Ann Russo, Greg Cromer, Vince Pisani, Camrus Johnson, Juan Uribe Brandi",English,unknown,,unknown,unknown,,,29.0,,,,"Action Epic, Adventure Epic, Artificial Intelligence, Dystopian Sci-Fi, Epic, Quest, Sci-Fi Epic, Urban Adventure, Action, Adventure","Action Epic, Adventure Epic",Action Epic,Adventure Epic,0.00026591876
Marked Men,2025,93,R,5.2,1300.0,"Shaw has loved Rule since she saw him, but Rule doesn't see her as a suitable match, but a night of drinking and secrets leads them to question if they can be together without ruining their relationship...or each other.",https://www.imdb.com/title/tt26452781/?ref_=sr_i_115,"Jay Crownover, Sharon Soboil",Nick Cassavetes,"Alexander Ludwig, Chase Stokes, Natalie Alyn Lind, Sydney Taylor, Ella Balinska, Hannah Kepple, Paul Johansson, Matthew Noszka, Daisy Jelley, Inanna Sarkis",English,unknown,,unknown,unknown,,,,,,,Romance,Romance,Romance,unknown,0.00025610556
Echo Valley,2025,83,R,7.1,12.0,"Kate is dealing with a personal tragedy while owning and training horses in Echo Valley, an isolated and picturesque place, when her daughter, Claire, arrives at her doorstep, frightened, trembling and covered in someone else's blood.",https://www.imdb.com/title/tt27052633/?ref_=sr_i_300,Brad Ingelsby,Michael Pearce,"Sydney Sweeney, Julianne Moore, Kyle MacLachlan, Domhnall Gleeson, Fiona Shaw, Rebecca Creskoff, Will Fitz, Edmund Donovan, Audrey Grace Marshall, Jared Canfield",English,unknown,,unknown,unknown,,,,,,,"Drama, Thriller","Drama, Thriller",Drama,Thriller,0.00024934995
The Monkey,2025,98,R,6.3,23000.0,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years.",https://www.imdb.com/title/tt27714946/?ref_=sr_i_6,"Osgood Perkins, Stephen King",Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery, Colin O'Brien, Elijah Wood, Rohan Campbell, Sarah Levy, Osgood Perkins, Tess Degenstein, Danica Dreyer",English,unknown,,unknown,unknown,,,62.0,,,,"Dark Comedy, Splatter Horror, Horror","Dark Comedy, Splatter Horror",Dark Comedy,Splatter Horror,0.00022501456
Kinda Pregnant,2025,97,R,4.9,14000.0,"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie, and accidentally falls for her dream guy.",https://www.imdb.com/title/tt30253036/?ref_=sr_i_114,"Julie Paiva, Amy Schumer",Tyler Spindel,"Amy Schumer, Will Forte, Jillian Bell, Brianne Howey, Lizze Broadway, Urzila Carlson, Chris Geere, Damon Wayans Jr., Alex Moffat, Joel David Moore",English,unknown,,unknown,unknown,,,38.0,,,,"Farce, Comedy, Drama","Farce, Comedy",Farce,Comedy,0.0002248786
Mickey 17,2025,137,R,7.0,60000.0,"Mickey 17, known as an ""expendable,"" goes on a dangerous journey to colonize an ice planet.",https://www.imdb.com/title/tt12299608/?ref_=sr_i_5,"Bong Joon Ho, Edward Ashton",Bong Joon Ho,"Robert Pattinson, Steven Yeun, Michael Monroe, Patsy Ferran, Cameron Britton, Christian Patterson, Lloyd Hutchinson, Samuel Blenkin, Ian Hanmore, Sabet Choudhury",English,unknown,,unknown,unknown,,,72.0,,,,"Alien Invasion, Dark Comedy, Space Sci-Fi, Adventure, Comedy, Fantasy, Sci-Fi","Alien Invasion, Dark Comedy",Alien Invasion,Dark Comedy,0.00022429317
The Witcher: Sirens of the Deep,2025,91,TV-MA,6.1,7600.0,"Hired to probe seaside village attacks, mutant monster hunter Geralt unravels an age-old conflict between humans and sea people that threatens war between kingdoms. Aided by allies, he must solve the mystery before hostilities escalate.",https://www.imdb.com/title/tt15495150/?ref_=sr_i_162,"Mike Ostrowski, Rae Benjamin, Andrzej Sapkowski",Kang Hei Chul,"Doug Cockle, Joey Batey, Anya Chalotra, Christina Wren, Emily Carey, Camrus Johnson, Simon Templeman, Ray Chase, Mallory Jansen, Cynthia Kaye McWilliams","English, Polish",unknown,,unknown,unknown,,,54.0,,,,"Adult Animation, Anime, Dark Fantasy, Action, Adventure, Animation, Drama, Fantasy, Mystery","Adult Animation, Anime",Adult Animation,Anime,0.00021325139
Drop,2025,100,PG-13,5.9,119.0,"A widowed mother's first date in years takes a terrifying turn when she's bombarded with anonymous threatening messages on her phone during their upscale dinner, leaving her questioning if her charming date is behind the harassment.",https://www.imdb.com/title/tt32149847/?ref_=sr_i_82,"Jillian Jacobs, Chris Roach",Christopher Landon,"Meghann Fahy, Brandon Sklenar, Violett Beane, Jacob Robinson, Reed Diamond, Gabrielle Ryan, Sarah McCormack, Jeffery Self, Ed Weeks, Benjamin Pelletier",English,unknown,,unknown,unknown,,,72.0,,,,"Whodunnit, Drama, Mystery, Thriller","Whodunnit, Drama",Whodunnit,Drama,0.00020312153
Ad Vitam,2025,98,TV-MA,5.9,8800.0,"After escaping an attempted murder, Franck Lazareff must find his wife Leo, who has been kidnapped by a mysterious group of armed men. He is caught up by his past and plunged into a state affair that is beyond him.",https://www.imdb.com/title/tt32138452/?ref_=sr_i_182,"Guillaume Canet, Rodolphe Lauga, David Corona",Rodolphe Lauga,"Guillaume Canet, Stéphane Caillard, Nassim Lyes, Zita Hanrot, Alexis Manenti, Johan Heldenbergh, Jean-Yves Berteloot, Stéphane Rideau, Cyrielle Clair, Stéphanie Crayencour",French,unknown,,unknown,unknown,,,40.0,,,,"Action, Crime, Drama, Mystery, Thriller","Action, Crime",Action,Crime,0.00019842283
Man with No Past,2025,102,R,4.3,469.0,"Amnesiac man awakens in unknown city, seeks truth about past. Aided by allies, infiltrates powerful gang, engages in time-transcending battle while fate looms.",https://www.imdb.com/title/tt31974129/?ref_=sr_i_333,Steven Paul,James Bamford,"Jon Voight, Adam Woodward, Marton Csokas, Charlotte Vega, Philip Winchester, Charlotte Weston, Jeff Alexander, Nebli Basani, Todor Todorov, Judith Chandler",English,unknown,,unknown,unknown,,,,,,,"Action, Drama","Action, Drama",Action,Drama,0.000188321
Rule Breakers,2025,120,PG,7.4,617.0,"In a nation where educating girls is rebellion, a visionary woman sparks hope and opposition. Their courage ignites a movement that could transform their nation forever.",https://www.imdb.com/title/tt23398348/?ref_=sr_i_23,"Jason Brown, Bill Guttentag, Elaha Mahboob",Bill Guttentag,"Nikohl Boosheri, Ali Fazal, Phoebe Waller-Bridge, Amber Afzali, Waj Ali, Mohamed Bentaleb, Samar Boukadida, Tatsu Carvalho, Lilian Castro, Christian Contreras",English,unknown,,unknown,unknown,,,55.0,,,,Drama,Drama,Drama,unknown,0.00017595098
Wish You Were Here,2025,99,PG-13,4.7,428.0,A woman searching for a spark finds a whirlwind night of romance with a man only to discover he is terminally ill and commits to helping him spend his last days living life to the fullest.,https://www.imdb.com/title/tt14893438/?ref_=sr_i_234,"Julia Stiles, Renée Carlino",Julia Stiles,"Isabelle Fuhrman, Mena Massoud, Gabby Kono-Abdy, Jimmie Fails, Josh Caras, Jennifer Grey, Kelsey Grammer, Jordan Gavaris, Mike Carlsen, Jane Stiles",English,unknown,,unknown,unknown,,,50.0,,,,Romance,Romance,Romance,unknown,0.0001657708
Putin,2025,109,R,3.1,1400.0,"A portrait of a formidable political figure, unraveling the contrasting facets of an iron-fisted tyrant and a man haunted by fear.",https://www.imdb.com/title/tt20414834/?ref_=sr_i_42,Patryk Vega,Patryk Vega,"Tomasz Dedek, Justyna Karlowska, Thomas Kretschmann, Slawomir Sobala, Kalina Wysocka, Maksymilian Zielinski",English,unknown,,unknown,unknown,,,,,,,"Biography, Crime, Drama, Thriller, War","Biography, Crime",Biography,Crime,0.00016101479
Dog Man,2025,89,PG,6.3,7400.0,"Dog Man, half dog and half man, he is sworn to protect and serve as he doggedly pursues the feline supervillain Petey the Cat.",https://www.imdb.com/title/tt10954718/?ref_=sr_i_2,"Peter Hastings, Dav Pilkey",Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery, Isla Fisher, Billy Boyd, Rahnuma Panthaky, Maggie Wheeler, Peter Hastings, Luenell, Melissa Villaseñor",English,unknown,,unknown,unknown,,,66.0,,,,"Animal Adventure, Computer Animation, Superhero, Action, Adventure, Animation, Comedy, Crime, Family, Fantasy","Animal Adventure, Computer Animation",Animal Adventure,Computer Animation,0.00014652291
High Ground,2025,92,R,3.8,225.0,"When a mysterious prisoner lands in his jail, a border town sheriff faces the wrath of a brutal cartel in this action-packed thriller starring Charlie Weber, Katherine McNamara, and Academy Award® winner Jon Voight.",https://www.imdb.com/title/tt35669717/?ref_=sr_i_165,"Bill Sondheim, John Thaddeus",James Bamford,"Charlie Weber, Jon Voight, Katherine McNamara, Henry Thomas, James Oliver Wheatley, Dustin Ingram, Skyler Shaye, Nebli Basani, Max Kraus, Charlotte Weston",English,unknown,,unknown,unknown,,,,,,,Thriller,Thriller,Thriller,unknown,0.00013451348
The Last Supper,2025,114,PG-13,6.1,390.0,"Depicts events prior to a betrayal, as a group of disciples gather, unveiling secrets and underlying motives.",https://www.imdb.com/title/tt32461003/?ref_=sr_i_19,"Mauro Borrelli, John Collins",Mauro Borrelli,"Robert Knepper, Jamie Ward, James Faulkner, James Oliver Wheatley, Nathalie Rapti Gomez, Henry Garrett, Fredrik Wagner, Daniel Fathers, Mayssae El Halla, Charlie MacGechan",English,unknown,,unknown,unknown,,,,,,,"Period Drama, Drama, History","Period Drama, Drama",Period Drama,Drama,0.00013035671
The Parenting,2025,94,R,5.7,4000.0,A couple rents a countryside house for a weekend with their parents and then discover it's inhabited by a 400-year-old poltergeist.,https://www.imdb.com/title/tt14041896/?ref_=sr_i_57,Kent Sublette,Craig Johnson,"Nik Dodani, Brandon Flynn, Brian Cox, Edie Falco, Lisa Kudrow, Dean Norris, Vivian Bang, Parker Posey, Kate Avallone, Elle Kaye",English,unknown,,unknown,unknown,,,45.0,,,,"Supernatural Horror, Comedy, Horror","Supernatural Horror, Comedy",Supernatural Horror,Comedy,0.000113892886
Black Bag,2025,93,R,7.3,11000.0,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country.",https://www.imdb.com/title/tt30988739/?ref_=sr_i_15,David Koepp,Steven Soderbergh,"Michael Fassbender, Gustaf Skarsgård, Cate Blanchett, Tom Burke, Marisa Abela, Regé-Jean Page, Naomie Harris, Kae Alexander, Martin Bassindale, Pierce Brosnan",English,unknown,,unknown,unknown,,,85.0,,,,"Spy, Drama, Romance, Thriller","Spy, Drama",Spy,Drama,7.557642e-05
The Ballad of Wallis Island,2025,100,PG-13,7.8,154.0,"THE BALLAD OF WALLIS ISLAND follows Charles (Tim Key), an eccentric lottery winner who lives alone on a remote island and dreams of getting his favorite musicians, McGwyer Mortimer (Tom Basden and Carey Mulligan) back together.",https://www.imdb.com/title/tt27674982/?ref_=sr_i_156,"Tom Basden, Tim Key",James Griffiths,"Tom Basden, Tim Key, Sian Clifford, Akemnji Ndifornyen, Steve Marsh, Carey Mulligan, Luka Downie, Kerrie Thomason, Arron Long",English,unknown,,unknown,unknown,,,76.0,,,,"Quirky Comedy, Comedy, Drama, Music","Quirky Comedy, Comedy",Quirky Comedy,Comedy,7.208222e-05
Becoming Led Zeppelin,2025,122,PG-13,7.8,2500.0,"The film traces the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",https://www.imdb.com/title/tt10365912/?ref_=sr_i_17,"Bernard MacMahon, Allison McGourty",Bernard MacMahon,"Led Zeppelin, Jimmy Page, Robert Plant, John Paul Jones, John Bonham, Peter Grant",English,unknown,,unknown,unknown,,,64.0,,,,"Concert, Music Documentary, Documentary, Music","Concert, Music Documentary",Concert,Music Documentary,6.2143765e-05
Borderline,2025,94,R,5.3,2000.0,A bodyguard protects a pop superstar and her athlete boyfriend from a determined stalker in 1990s Los Angeles.,https://www.imdb.com/title/tt13650814/?ref_=sr_i_43,Jimmy Warden,Jimmy Warden,"Samara Weaving, Ray Nicholson, Eric Dane, Jimmie Fails, Alba Baptista, Patrick Cox, Yasmeen Kelders, Catherine Lough Haggquist, Terence Kelly, April Cameron",English,unknown,,unknown,unknown,,,63.0,,,,"Dark Comedy, Psychological Horror, Psychological Thriller, Comedy, Horror, Thriller","Dark Comedy, Psychological Horror",Dark Comedy,Psychological Horror,5.9728514e-05
The Actor,2025,98,R,7.6,84.0,"When New York actor Paul Cole is beaten and left for dead in 1950s Ohio, he loses his memory and finds himself stranded in a mysterious small town where he struggles to get back home and reclaim what he's lost.",https://www.imdb.com/title/tt14127944/?ref_=sr_i_40,"Stephen Cooney, Duke Johnson, Donald E. Westlake",Duke Johnson,"André Holland, Gemma Chan, May Calamawy, Asim Chaudhry, Joe Cole, Fabien Frankel, Olwen Fouéré, Edward Hogg, Toby Jones, Youssef Kerkour",English,unknown,,unknown,unknown,,,62.0,,,,"Crime, Drama, Mystery, Thriller","Crime, Drama",Crime,Drama,5.6550598e-05
The Accountant 2,2025,124,R,7.6,254.0,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.,https://www.imdb.com/title/tt7068946/?ref_=sr_i_78,Bill Dubuque,unknown,"Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson, J.K. Simmons, Allison Robertson, Alison Wright, Daniella Pineda, Robert Morgan, Grant Harvey, Andrew Howard",English,unknown,,unknown,unknown,,,61.0,Gavin O'Connor,,,"Whodunnit, Action, Crime, Drama, Mystery, Thriller","Whodunnit, Action",Whodunnit,Action,5.203626e-05
Heart Eyes,2025,97,R,6.1,14000.0,"For the past several years, the ""Heart Eyes Killer"" has wreaked havoc on Valentine's Day by stalking and murdering romantic couples. This Valentine's Day, no couple is safe.",https://www.imdb.com/title/tt32558992/?ref_=sr_i_8,"Phillip Murphy, Christopher Landon, Michael Kennedy",Josh Ruben,"Mason Gooding, Olivia Holt, Gigi Zumbado, Michaela Watkins, Alex Walker, Lauren O'Hara, Latham Gaines, Alex McColl, Karlton Laing, Amy L. Workman",English,unknown,,unknown,unknown,,,61.0,,,,"Dark Comedy, Slasher Horror, Splatter Horror, Whodunnit, Comedy, Horror, Mystery","Dark Comedy, Slasher Horror",Dark Comedy,Slasher Horror,2.7309534e-05
The Legend of Ochi,2025,96,PG,7.7,129.0,"In a remote village on the island of Carpathia, a shy farm girl named Yuri is raised to fear an elusive animal species known as ochi. When Yuri discovers a wounded baby ochi has been left behind, she escapes on a quest to bring him home.",https://www.imdb.com/title/tt8866456/?ref_=sr_i_174,Isaiah Saxon,Isaiah Saxon,"Helena Zengel, Willem Dafoe, Emily Watson, Finn Wolfhard, Razvan Stoica, Carol Bors, Andrei Antoniu Anghel, David Andrei Baltatu, Eduard Mihail Oancea, Tomas Otto Ghela",English,unknown,,unknown,unknown,,,66.0,,,,"Teen Fantasy, Adventure, Family, Fantasy","Teen Fantasy, Adventure",Teen Fantasy,Adventure,2.2169346e-05
The Unbreakable Boy,2025,109,PG,5.7,1000.0,"A young boy with both a rare brittle-bone disease and autism transforms everyone around him with his joyous, funny, and life-affirming world view.",https://www.imdb.com/title/tt5181260/?ref_=sr_i_18,"Jon Gunn, Scott LeRette, Susy Flory",Jon Gunn,"Zachary Levi, Meghann Fahy, Jacob Laval, Drew Powell, Gavin Warren, Patricia Heaton, Todd Terry, Liza Marie Gonzalez, Arianne Martin, Kurt Yue",English,unknown,,unknown,unknown,,,35.0,,,,"Teen Drama, Drama","Teen Drama, Drama",Teen Drama,Drama,1.5223484e-05
Can You Feel the Beat: The Lisa Lisa Story,2025,90,TV-14,6.7,201.0,"15-year-old Puerto Rican Lisa Velez overcomes sexism, racism, and breast cancer to become Latin pop pioneer behind hits like ""Can You Feel The Beat,"" inspiring generations of Latina artists.",https://www.imdb.com/title/tt34346832/?ref_=sr_i_430,Rebecca Murga,Tailiah Breon,"Bre-Z, Matt Borlenghi, Jearnest Corchado, Lisa Lisa, Maurice P. Kerry, Giovanni Cristoff, Alijah Kai, Angie Martinez, Donny Carrington, David Dunston",English,unknown,,unknown,unknown,,,,,,,"Biography, Documentary","Biography, Documentary",Biography,Documentary,1.2026014e-05
Clown in a Cornfield,2025,96,R,8.1,87.0,"A fading midwestern town in which Frendo the clown, a symbol of bygone success, reemerges as a terrifying scourge.",https://www.imdb.com/title/tt23060698/?ref_=sr_i_140,"Carter Blanchard, Eli Craig, Adam Cesare",Eli Craig,"Katie Douglas, Carson MacCormac, Aaron Abrams, Cassandra Potenza, Verity Marks, Vincent Muller, Will Sasso, Kevin Durand, Ayo Solanke, Alexandre Martin Deakin",English,unknown,,unknown,unknown,,,,,,,"Dark Comedy, Slasher Horror, Teen Comedy, Teen Horror, Comedy, Horror","Dark Comedy, Slasher Horror",Dark Comedy,Slasher Horror,1.0614808e-05
If I Had Legs I'd Kick You,2025,113,R,7.3,235.0,"With her life literally crashing down around her, Linda attempts to navigate her child's mysterious illness, her absent husband, a missing person, and an increasingly hostile relationship with her therapist.",https://www.imdb.com/title/tt18382850/?ref_=sr_i_224,Mary Bronstein,Mary Bronstein,"Rose Byrne, Conan O'Brien, Danielle Macdonald, Delaney Quinn, Mary Bronstein, A$AP Rocky, Ivy Wolk, Christian Slater, Mark Stolzenberg, Manu Narayan",English,unknown,,unknown,unknown,,,82.0,,,,"Comedy, Drama","Comedy, Drama",Comedy,Drama,6.1121777e-06
Novocaine,2025,110,R,6.8,9500.0,"When the girl of his dreams is kidnapped, a man incapable of feeling physical pain turns his rare condition into an unexpected advantage in the fight to rescue her.",https://www.imdb.com/title/tt29603959/?ref_=sr_i_14,Lars Jacobson,"Dan Berk, Robert Olsen","Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon, Betty Gabriel, Matt Walsh, Conrad Kemp, Evan Hengst, Craig Jackson, Lou Beatty Jr.",English,unknown,,unknown,unknown,,,60.0,,,,"Dark Comedy, One-Person Army Action, Superhero, Action, Comedy, Thriller","Dark Comedy, One-Person Army Action",Dark Comedy,One-Person Army Action,1.1955035e-06
Blue Moon,2025,100,R,7.4,165.0,"Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!"".",https://www.imdb.com/title/tt32536315/?ref_=sr_i_220,Robert Kaplow,Richard Linklater,"Ethan Hawke, Margaret Qualley, Bobby Cannavale, Andrew Scott, Giles Surridge, Simon Delaney, John Doran, Patrick Kennedy, Jonah Lees, Elaine O'Dwyer",English,unknown,,unknown,unknown,,,76.0,,,,"Biography, Drama, Music","Biography, Drama",Biography,Drama,6.975356e-07
